State,District,Most AQI Reached,Current AQI,Major Source of Pollution,AQI_Difference,Category,District_Rank
Andhra Pradesh,Anantapur,272,190,Vehicle,82,Moderate,1355
Andhra Pradesh,Anantapur (Area 1),280,155,Industrial Emissions,125,Moderate,2275
Andhra Pradesh,Anantapur (Area 2),258,64,Road Dust,194,Satisfactory,4293
Andhra Pradesh,Anantapur (Area 3),133,120,Road Dust,13,Moderate,3066
Andhra Pradesh,Anantapur (Area 4),221,57,Industrial Emissions,164,Satisfactory,4452
Andhra Pradesh,Anantapur (Area 5),224,39,Domestic Fuel,185,Good,4829
Andhra Pradesh,Anantapur (Area 6),81,34,Crop Burning,47,Good,4944
Andhra Pradesh,Chittoor,211,57,Industrial Emissions,154,Satisfactory,4452
Andhra Pradesh,Chittoor (Area 1),91,58,Crop Burning,33,Satisfactory,4431
Andhra Pradesh,Chittoor (Area 2),226,164,Construction Dust,62,Moderate,2049
Andhra Pradesh,Chittoor (Area 3),219,70,Vehicle,149,Satisfactory,4153
Andhra Pradesh,Chittoor (Area 4),254,133,Domestic Fuel,121,Moderate,2758
Andhra Pradesh,Chittoor (Area 5),237,152,Industrial Emissions,85,Moderate,2349
Andhra Pradesh,Chittoor (Area 6),78,64,Construction Dust,14,Satisfactory,4293
Andhra Pradesh,East Godavari,227,144,Construction Dust,83,Moderate,2550
Andhra Pradesh,East Godavari (Area 1),84,62,Crop Burning,22,Satisfactory,4343
Andhra Pradesh,East Godavari (Area 2),94,45,Domestic Fuel,49,Good,4702
Andhra Pradesh,East Godavari (Area 3),289,181,Road Dust,108,Moderate,1609
Andhra Pradesh,East Godavari (Area 4),247,164,Crop Burning,83,Moderate,2049
Andhra Pradesh,East Godavari (Area 5),168,163,Crop Burning,5,Moderate,2075
Andhra Pradesh,East Godavari (Area 6),291,93,Waste Burning,198,Satisfactory,3678
Andhra Pradesh,Guntur,263,85,Construction Dust,178,Satisfactory,3852
Andhra Pradesh,Guntur (Area 1),142,129,Crop Burning,13,Moderate,2852
Andhra Pradesh,Guntur (Area 2),241,123,Crop Burning,118,Moderate,2983
Andhra Pradesh,Guntur (Area 3),296,134,Crop Burning,162,Moderate,2740
Andhra Pradesh,Guntur (Area 4),298,47,Construction Dust,251,Good,4656
Andhra Pradesh,Guntur (Area 5),150,132,Domestic Fuel,18,Moderate,2792
Andhra Pradesh,Guntur (Area 6),150,148,Vehicle,2,Moderate,2446
Andhra Pradesh,Krishna,315,163,Construction Dust,152,Moderate,2075
Andhra Pradesh,Krishna (Area 1),249,183,Industrial Emissions,66,Moderate,1572
Andhra Pradesh,Krishna (Area 2),135,110,Industrial Emissions,25,Moderate,3302
Andhra Pradesh,Krishna (Area 3),206,56,Road Dust,150,Satisfactory,4474
Andhra Pradesh,Krishna (Area 4),69,38,Domestic Fuel,31,Good,4845
Andhra Pradesh,Krishna (Area 5),200,169,Domestic Fuel,31,Moderate,1925
Andhra Pradesh,Krishna (Area 6),315,182,Construction Dust,133,Moderate,1593
Andhra Pradesh,Kurnool,259,176,Road Dust,83,Moderate,1754
Andhra Pradesh,Kurnool (Area 1),159,60,Crop Burning,99,Satisfactory,4390
Andhra Pradesh,Kurnool (Area 2),129,111,Industrial Emissions,18,Moderate,3285
Andhra Pradesh,Kurnool (Area 3),182,108,Crop Burning,74,Moderate,3362
Andhra Pradesh,Kurnool (Area 4),127,74,Construction Dust,53,Satisfactory,4064
Andhra Pradesh,Kurnool (Area 5),273,110,Vehicle,163,Moderate,3302
Andhra Pradesh,Kurnool (Area 6),199,165,Vehicle,34,Moderate,2028
Andhra Pradesh,Nellore,288,75,Crop Burning,213,Satisfactory,4041
Andhra Pradesh,Nellore (Area 1),302,75,Crop Burning,227,Satisfactory,4041
Andhra Pradesh,Nellore (Area 2),202,67,Domestic Fuel,135,Satisfactory,4225
Andhra Pradesh,Nellore (Area 3),316,38,Industrial Emissions,278,Good,4845
Andhra Pradesh,Nellore (Area 4),227,32,Domestic Fuel,195,Good,4983
Andhra Pradesh,Nellore (Area 5),302,188,Construction Dust,114,Moderate,1423
Andhra Pradesh,Nellore (Area 6),192,143,Vehicle,49,Moderate,2567
Andhra Pradesh,Prakasam,187,50,Road Dust,137,Good,4596
Andhra Pradesh,Prakasam (Area 1),282,108,Industrial Emissions,174,Moderate,3362
Andhra Pradesh,Prakasam (Area 2),289,118,Construction Dust,171,Moderate,3122
Andhra Pradesh,Prakasam (Area 3),149,55,Waste Burning,94,Satisfactory,4497
Andhra Pradesh,Prakasam (Area 4),80,68,Road Dust,12,Satisfactory,4204
Andhra Pradesh,Prakasam (Area 5),266,51,Domestic Fuel,215,Satisfactory,4578
Andhra Pradesh,Prakasam (Area 6),131,121,Construction Dust,10,Moderate,3037
Andhra Pradesh,Srikakulam,223,72,Industrial Emissions,151,Satisfactory,4100
Andhra Pradesh,Srikakulam (Area 1),226,160,Domestic Fuel,66,Moderate,2154
Andhra Pradesh,Srikakulam (Area 2),85,84,Domestic Fuel,1,Satisfactory,3872
